FID,Shape *,F_id,admin_leve,boundary,name,name_kn,type
0,Polygon ZM,relation/10475787,10,administrative,Gattahalli,ಗಟ್ಟಹಳ್ಳಿ,boundary
1,Polygon ZM,relation/17394633,10,local_authority,Thanisandra,ಥಣಿಸಂದ್ರ,boundary
2,Polygon ZM,relation/17394634,10,local_authority,Jakkuru,ಜಕ್ಕೂರು,boundary
3,Polygon ZM,relation/17394635,10,local_authority,Amrutahalli,ಅಮೃತಹಳ್ಳಿ,boundary
4,Polygon ZM,relation/17394636,10,local_authority,Hebbal Kempapura,ಹೆಬ್ಬಾಳ ಕೆಂಪಾಪುರ,boundary
5,Polygon ZM,relation/17394637,10,local_authority,Kodigehalli,ಕೊಡಿಗೇಹಳ್ಳಿ,boundary
6,Polygon ZM,relation/17394638,10,local_authority,Dodda Bommasandra,ದೊಡ್ಡ ಬೊಮ್ಮಸಂದ್ರ,boundary
7,Polygon ZM,relation/17394639,10,local_authority,Byatarayanapura,ಬ್ಯಟರಾಯನಪುರ,boundary
8,Polygon ZM,relation/17394640,10,local_authority,Vidyaranyapura,ವಿದ್ಯಾರಣ್ಯಪುರ,boundary
9,Polygon ZM,relation/17394641,10,local_authority,Kuvempu Nagar,ಕುವೆಂಪು ನಗರ,boundary
10,Polygon ZM,relation/17394642,10,local_authority,Yelahanka Satellite Town,ಯಲಹಂಕ ಸ್ಯಾಟಲೈಟ್ ಟೌನ್,boundary
11,Polygon ZM,relation/17394643,10,local_authority,Chowdeswari Ward,ಚೌಡೇಶ್ವರಿ ವಾರ್ಡ್,boundary
12,Polygon ZM,relation/17394644,10,local_authority,Atturu,ಅತ್ತೂರು,boundary
13,Polygon ZM,relation/17394645,10,local_authority,Kogilu,ಕೋಗಿಲು,boundary
14,Polygon ZM,relation/17394646,10,local_authority,Kempegowda Ward,ಕೆಂಪೇಗೌಡ ವಾರ್ಡ್,boundary
15,Polygon ZM,relation/17395554,10,local_authority,Hegganahalli,ಹೆಗ್ಗನಹಳ್ಳಿ,boundary
16,Polygon ZM,relation/17395555,10,local_authority,Rajagopal Nagar,ರಾಜಗೋಪಾಲ್ ನಗರ,boundary
17,Polygon ZM,relation/17395556,10,local_authority,Chokkasandra,ಚೊಕ್ಕಸಂದ್ರ,boundary
18,Polygon ZM,relation/17395557,10,local_authority,Nalagadarenahalli,ನೆಲಗೆದರನಹಳ್ಳಿ,boundary
19,Polygon ZM,relation/17395558,10,local_authority,Peenya Industrial Area,ಪೀಣ್ಯ ಕೈಗಾರಿಕಾ ಪ್ರದೇಶ,boundary
20,Polygon ZM,relation/17395559,10,local_authority,Sunkadakatte,ಸುಂಕದಕಟ್ಟೆ,boundary
21,Polygon ZM,relation/17395560,10,local_authority,T Dasarahalli,ಟಿ ದಾಸರಹಳ್ಳಿ,boundary
22,Polygon ZM,relation/17395561,10,local_authority,Bagalakunte,ಬಾಗಲಕುಂಟೆ,boundary
23,Polygon ZM,relation/17395562,10,local_authority,Mallasandra,ಮಲ್ಲಸಂದ್ರ,boundary
24,Polygon ZM,relation/17395563,10,local_authority,Chikkasandra,ಚಿಕ್ಕಸಂದ್ರ,boundary
25,Polygon ZM,relation/17395564,10,local_authority,Kammagondanahalli,ಕಮ್ಮಗೊಂಡನಹಳ್ಳಿ,boundary
26,Polygon ZM,relation/17395762,10,local_authority,Rajarajeshwari Nagar,ರಾಜರಾಜೇಶ್ವರಿ ನಗರ,boundary
27,Polygon ZM,relation/17395763,10,local_authority,Hemmigepura,ಹೆಮ್ಮಿಗೆಪುರ,boundary
28,Polygon ZM,relation/17395764,10,local_authority,Kengeri,ಕೆಂಗೇರಿ,boundary
29,Polygon ZM,relation/17395765,10,local_authority,Bande Mutt,ಬಂಡೆ ಮಠ,boundary
30,Polygon ZM,relation/17395766,10,local_authority,JP Park,ಜೆಪಿ ಪಾರ್ಕ್,boundary
31,Polygon ZM,relation/17395767,10,local_authority,Yeshwanthpura,ಯಶವಂತಪುರ,boundary
32,Polygon ZM,relation/17395768,10,local_authority,Jalahalli,ಜಾಲಹಳ್ಳಿ,boundary
33,Polygon ZM,relation/17395769,10,local_authority,Peenya,ಪೀಣ್ಯ,boundary
34,Polygon ZM,relation/17395770,10,local_authority,Laxmidevi Nagar,ಲಕ್ಷ್ಮೀದೇವಿ ನಗರ,boundary
35,Polygon ZM,relation/17395771,10,local_authority,Laggere,ಲಗ್ಗೆರೆ,boundary
36,Polygon ZM,relation/17395772,10,local_authority,Chowdeshwari Nagar,ಚೌಡೇಶ್ವರಿ ನಗರ,boundary
37,Polygon ZM,relation/17395773,10,local_authority,Kottegepalya,ಕೊಟ್ಟಿಗೆಪಾಳ್ಯ,boundary
38,Polygon ZM,relation/17395774,10,local_authority,Jnana Bharathi Ward,ಜ್ಞಾನ ಭಾರತಿ ವಾರ್ಡ್,boundary
39,Polygon ZM,relation/17395775,10,local_authority,Malathalli,ಮಲ್ಲತಳ್ಳಿ,boundary
40,Polygon ZM,relation/17395776,10,local_authority,Srigandhadakaval,ಶ್ರೀಗಂಧದಕಾವಲ್,boundary
41,Polygon ZM,relation/17395777,10,local_authority,Herohalli,ಹೇರೋಹಳ್ಳಿ,boundary
42,Polygon ZM,relation/17395778,10,local_authority,Nagadevanahalli,ನಾಗದೇವನಹಳ್ಳಿ,boundary
43,Polygon ZM,relation/17395779,10,local_authority,Ullalu,ಉಲ್ಲಾಳು,boundary
44,Polygon ZM,relation/17395780,10,local_authority,Lingadheeranahalli,ಲಿಂಗಧೀರನಹಳ್ಳಿ,boundary
45,Polygon ZM,relation/17395781,10,local_authority,Dodda Bidarakallu,ದೊಡ್ಡ ಬಿದರಕಲ್ಲು,boundary
46,Polygon ZM,relation/17398521,10,local_authority,Uttarahalli,ಉತ್ತರಹಳ್ಳಿ,boundary
47,Polygon ZM,relation/17398522,10,local_authority,Vasanthpura,ವಸಂತಪುರ,boundary
48,Polygon ZM,relation/17398523,10,local_authority,Yelchenahalli,ಯಲಚೇನಹಳ್ಳಿ,boundary
49,Polygon ZM,relation/17398524,10,local_authority,Jaraganahalli,ಜರಗನಹಳ್ಳಿ,boundary
50,Polygon ZM,relation/17398525,10,local_authority,Puttenahalli,ಪುಟ್ಟೇನಹಳ್ಳಿ,boundary
51,Polygon ZM,relation/17398526,10,local_authority,Bilekhalli,ಬಿಳೇಕಹಳ್ಳಿ,boundary
